date,url,entropy,mean_intensity,standard_deviation,skewness,kurtosis,relative_smoothness,uniformity,fractal_dimension,taruma_contrast,taruma_directionality,taruma_coarseness,taruma_linelikeness,taruma_regularity,taruma_roughness
2025-02-12 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250212/20250212_0106_eit284_1024.jpg,6.5674401908713,56.940470695495605,51.149873154272086,1.0576979212455007,4.430306102525562,0.9996179282614663,0.04539723649031657,1.473380556133859,1803.3527590087836,0.8731255510130905,12.914546966552734,1.528444584896709,35.03013283006275,0.2895325478250611
2025-02-12 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250212/20250212_1306_eit284_1024.jpg,6.577566517461983,57.50732421875,52.00001239547215,1.0224824633830927,4.211563575792504,0.9996303144090841,0.046330888158991,1.4836180817033164,1887.5395231231275,0.8743178861616465,13.021034717559814,1.5276513308113016,35.086218382205665,0.289980990081435
2025-02-13 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250213/20250213_1306_eit284_1024.jpg,6.546163502280887,57.19105339050293,51.336129898410334,0.8818507275218431,3.691214961773121,0.9996206946327367,0.04962743832584238,1.467347186440952,1901.314306272753,0.9807516154357572,13.068160057067871,1.510636804371595,34.38200452854042,0.29149411336199127
2025-02-14 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250214/20250214_1306_eit284_1024.jpg,6.565044224932858,58.19773578643799,51.87738281903252,0.7854343577826131,3.3388499403996224,0.9996285652418053,0.04994756060295913,1.459399917342954,1990.9341269262682,0.9810533913742907,13.297976016998291,1.506460671041455,34.04579196741628,0.2908836415964904
2025-02-15 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250215/20250215_0106_eit284_1024.jpg,6.520898554640001,57.833505630493164,51.802238866297635,0.7659071620423952,3.289790592998912,0.9996274872607931,0.05289674791856669,1.457790043417082,1992.5305859284258,0.9818261506166247,13.230588436126709,1.493011388853664,33.93093030555127,0.2923079642687318
2025-02-15 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250215/20250215_1306_eit284_1024.jpg,6.493877159646133,58.523298263549805,51.912724934045585,0.6855132163722547,3.0974698762387587,0.9996290706267105,0.054648369672577246,1.4608940157538437,2031.402015066273,0.9822027969554916,13.294005870819092,1.487898990883717,32.46165572311122,0.29444423828563654
2025-02-16 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250216/20250216_1306_eit284_1024.jpg,6.462020245445984,59.14285469055176,52.445669574219075,0.6454130641024559,2.9938414345097084,0.999636568249376,0.05664780734332453,1.4462817640543237,2091.0386978630236,0.9828226545338952,13.339690208435059,1.476768140134404,32.07983257529293,0.29575503162436384
2025-02-17 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250217/20250217_0106_eit284_1024.jpg,6.482938615275746,59.85934352874756,52.63714026201777,0.6182561788668934,2.921857045282366,0.9996392064969583,0.05546278747897304,1.4455783565578564,2119.1896865768103,0.9827129504943853,13.471734523773193,1.4801812910107195,32.19296438253042,0.29439295189821835
2025-02-19 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250219/20250219_0106_eit284_1024.jpg,6.45856203253354,60.22764015197754,52.313920877965195,0.547880609792603,2.784497476296379,0.999634736062446,0.056106270480086096,1.454135957404401,2118.594474415516,0.9828130867085164,13.520757675170898,1.4802572204582272,32.07398111999477,0.294536320813723
2025-02-20 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250220/20250220_0106_eit284_1024.jpg,6.518375369199674,60.671650886535645,52.11706832740443,0.5653520961215217,2.8664208291225344,0.9996319725755032,0.05256057219776267,1.44301618403712,2087.4927129399885,0.982192281316717,13.700096130371094,1.493075897565034,33.79909887643986,0.2922576396658099
2025-02-20 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250220/20250220_1306_eit284_1024.jpg,6.616029564215925,61.737427711486816,52.53969293955078,0.6281330287500041,3.0638314617760254,0.9996378673866655,0.04628894380039128,1.4479277198995775,2086.4541365410378,0.9803534539053637,13.909626960754395,1.5223468474763948,34.47741339347003,0.2889948039181826
2025-02-22 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250222/20250222_0106_eit284_1024.jpg,6.80405042910353,62.71335315704346,54.34735631813965,0.8321060986858207,3.541868424484693,0.9996615487351118,0.035788187184152775,1.4629229630551697,2153.023351445293,0.6390043384035033,13.993257999420166,1.5707650487173206,36.44726139495611,0.2815642712776252
2025-02-22 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250222/20250222_1306_eit284_1024.jpg,6.8100397865148246,62.06964683532715,55.2936576663257,0.904879313501342,3.6606671673767948,0.999673030429438,0.035781314050836954,1.4864828350969768,2210.347607275101,0.6349455554048584,13.834274291992188,1.57331280845421,36.66727142916092,0.28250813639325484
2025-02-23 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250223/20250223_0106_eit284_1024.jpg,4.5554691778921,59.08442306518555,78.36577211493947,1.1537019921499037,3.2725076518692378,0.9998371917329442,0.2592120608078403,1.4188932415224758,4565.965925776332,0.9960056046521317,9.404400825500488,0.841372439810356,83.00365072408813,0.33000551472321693
2025-02-23 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250223/20250223_1306_eit284_1024.jpg,6.811375604370784,61.74177932739258,56.78962252891109,0.9633573396353169,3.731200281002223,0.9996900244819789,0.0361318984778336,1.5321346795670192,2320.4692819254597,0.6286106974836505,13.672408103942871,1.574182822884443,37.601986296528835,0.2844486922174066
2025-02-24 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250224/20250224_0106_eit284_1024.jpg,6.807408534640508,61.29563331604004,57.33147750576326,0.9878270075092975,3.720980845361908,0.9996958543407355,0.03670336947834585,1.5354391680808828,2366.583923058533,0.6285414584706048,13.555512428283691,1.574757622526965,38.341359956804844,0.28460644844303923
2025-02-24 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250224/20250224_1306_eit284_1024.jpg,6.82268310849995,61.52488708496094,57.57573497721034,0.967586310004902,3.6116897625989113,0.9996984286860252,0.03625782363997132,1.5372254077656469,2404.6472233326435,0.619856787957643,13.627420902252197,1.5795596962394336,38.27950571635282,0.284404033610493
2025-03-13 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250313/20250313_0106_eit284_1024.jpg,6.8478531843651975,65.07028675079346,55.54267429007825,0.860405096848885,3.6572986644619134,0.9996759547400162,0.034034355499898084,1.4509661503313793,2230.814538302765,0.6192677378368598,14.239856243133545,1.5789928777239521,36.83150377064084,0.28139847267765117
2025-03-15 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250315/20250315_0106_eit284_1024.jpg,6.761913929625779,65.60152530670166,56.185789529230505,0.7575386803353104,3.4000453604161742,0.9996833281396796,0.03965927674835257,1.4548054111482724,2324.7796653542205,0.6546988142243984,14.217479228973389,1.5525019048867734,35.227722730814094,0.28705921518998206
2025-03-15 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250315/20250315_1306_eit284_1024.jpg,6.745994290361159,65.35905265808105,56.09119087547621,0.7224048577172214,3.268369141409525,0.9996822594347387,0.04108606239606161,1.4531063667446753,2339.9498298011936,0.6631440479140617,14.224055767059326,1.5449206502520576,34.778107218400024,0.2882266642386318
2025-03-16 13:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250316/20250316_1306_eit284_1024.jpg,6.719063330409826,65.93489360809326,56.46717735386265,0.6597749719170166,3.0381208077427826,0.9996864753739233,0.04364734763476008,1.427313121418438,2415.132144668244,0.979458907285852,14.373699188232422,1.5269884121173052,34.828607575831754,0.2884609428861623
2025-03-17 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250317/20250317_0106_eit284_1024.jpg,6.690771558043154,65.06053447723389,56.283830519566635,0.6756171307861248,3.0625473263215537,0.9996844300545038,0.04523195212823339,1.446974059803954,2394.6750597178693,0.9797804323546426,14.202704906463623,1.5216232683511872,34.236882195011034,0.28957985920780777
2025-03-18 01:06:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2025/eit284/20250318/20250318_0106_eit284_1024.jpg,6.674528132877802,65.43760299682617,57.12839742936533,0.6801600291646831,3.037727353416483,0.9996936888063932,0.047137109551840695,1.4496248536390282,2472.104839325863,0.9805775882987586,14.194576740264893,1.5123024904873132,34.543644781926496,0.2912986586427835
